date,mktrf,smb,hml,rf,umd
196910,0.050600,0.038700,-0.031000,0.00600,-0.043200
196911,-0.037900,-0.025800,-0.012100,0.00520,0.036000
196912,-0.026300,-0.037200,-0.028400,0.00640,0.050500
197001,-0.081000,0.029500,0.031200,0.00600,0.006300
197002,0.051300,-0.025600,0.039300,0.00620,0.001200
197003,-0.010600,-0.023000,0.039900,0.00570,-0.002900
197004,-0.110000,-0.061200,0.061700,0.00500,-0.007300
197005,-0.069200,-0.045600,0.033200,0.00530,-0.027300
197006,-0.057900,-0.021400,0.006000,0.00580,0.057800
197007,0.069300,-0.005000,0.009100,0.00520,-0.029400
197008,0.044900,0.015300,0.012700,0.00530,-0.065000
197009,0.041800,0.085900,-0.055200,0.00540,-0.089200
197010,-0.022800,-0.042200,0.002100,0.00460,0.096100
197011,0.046000,-0.039400,0.017000,0.00460,0.028900
197012,0.057200,0.029200,0.009900,0.00420,-0.021900
197101,0.048400,0.073800,0.014800,0.00380,-0.067100
197102,0.014100,0.018600,-0.012700,0.00330,0.008100
197103,0.041300,0.026100,-0.040300,0.00300,-0.012100
197104,0.031500,-0.004800,0.008100,0.00280,0.013200
197105,-0.039800,-0.010400,-0.014100,0.00290,0.008900
197106,-0.001000,-0.014800,-0.019400,0.00370,0.027200
197107,-0.045000,-0.015100,-0.000100,0.00400,-0.023700
197108,0.037900,-0.001500,0.026400,0.00470,0.035100
197109,-0.008500,0.005100,-0.029100,0.00370,0.020900
197110,-0.044200,-0.017400,-0.004800,0.00370,0.004600
197111,-0.004600,-0.027800,-0.017000,0.00370,0.014800
197112,0.087100,0.032600,-0.004100,0.00370,-0.006800
197201,0.024900,0.058800,0.022700,0.00290,0.002400
197202,0.028700,0.013100,-0.027700,0.00250,0.027000
197203,0.006300,-0.002700,-0.016300,0.00270,0.029100
197204,0.002900,0.000800,0.001000,0.00290,0.029000
197205,0.012500,-0.027300,-0.027200,0.00300,0.031800
197206,-0.024300,0.002400,-0.024900,0.00290,0.019100
197207,-0.008000,-0.028700,0.006600,0.00310,0.027400
197208,0.032600,-0.040300,0.045300,0.00290,-0.053500
197209,-0.011400,-0.026500,0.004700,0.00340,0.017600
197210,0.005200,-0.027300,0.013500,0.00400,0.007600
197211,0.046000,-0.012000,0.048300,0.00370,-0.051400
197212,0.006200,-0.019500,-0.021900,0.00370,0.049800
197301,-0.032900,-0.034900,0.026800,0.00440,0.037100
197302,-0.048500,-0.038700,0.016000,0.00410,0.021200
197303,-0.013000,-0.028200,0.026200,0.00460,0.036200
197304,-0.056800,-0.038500,0.054200,0.00520,0.064100
197305,-0.029400,-0.063000,0.004100,0.00510,0.070900
197306,-0.015700,-0.028500,0.011900,0.00510,0.043200
197307,0.050500,0.079700,-0.052600,0.00640,-0.116900
197308,-0.038200,-0.020200,0.010600,0.00700,0.034200
197309,0.047500,0.029300,0.022400,0.00680,-0.070300
197310,-0.008300,-0.002800,0.016000,0.00650,0.067400
197311,-0.127500,-0.077200,0.039900,0.00560,0.086300
197312,0.006100,-0.053700,0.039400,0.00640,0.103900
197401,-0.001700,0.097200,0.060000,0.00630,-0.088200
197402,-0.004700,-0.000200,0.025000,0.00580,0.001400
197403,-0.028100,0.025000,-0.001200,0.00560,-0.009900
