r_me,r_ia,r_roe,r_eg,date
1.5106,0.2061,1.7462,2.7125,197705
3.0804,-0.707,2.3207,2.92,197706
1.0218,1.0303,1.7279,2.3998,197707
-0.2567,-0.9221,1.3905,-0.0612,197708
1.4214,-0.0246,1.3822,1.5164,197709
1.4077,-0.5652,-0.9856,1.1205,197710
4.5803,1.202,2.565,1.4966,197711
1.4872,0.0436,1.2518,1.824,197712
2.2906,0.9791,-1.7383,0.2813,197801
4.0881,1.3206,0.0728,1.6571,197802
3.3843,2.5349,-0.0044,0.1286,197803
-0.1048,-0.362,5.5452,0.5713,197804
3.6571,0.8898,0.503,0.5269,197805
1.4505,0.4295,1.5126,1.2211,197806
0.1866,0.2737,1.82,2.6165,197807
4.7053,1.1637,1.9068,0.6606,197808
-0.7342,0.2454,-3.5455,-0.8557,197809
-10.9812,0.5996,-1.1601,0.9794,197810
4.0574,-1.0321,1.2777,1.5672,197811
0.4927,-1.0916,2.6761,2.4785,197812
4.2986,1.6783,-1.2204,-1.32,197901
0.3875,-0.4669,-2.4104,0.4715,197902
3.8495,0.762,2.3211,0.521,197903
2.3717,0.8093,1.8596,-0.2652,197904
0.5172,-0.0488,-0.6354,0.4403,197905
0.866,-0.8884,-1.0071,-1.7366,197906
1.271,0.6421,0.5525,-0.6755,197907
1.6294,-0.348,2.8977,-0.0615,197908
-0.0593,-0.1385,0.6966,2.8822,197909
-3.1861,0.0203,0.9841,1.6701,197910
2.1608,-2.5489,2.2859,-0.3063,197911
3.976,-1.1103,1.2236,-0.0718,197912
0.7921,1.3627,1.7475,0.4129,198001
-1.5739,1.6345,2.2602,3.6,198002
-6.5916,0.7581,-1.1728,-1.0575,198003
1.332,1.2175,0.1694,1.4254,198004
1.4786,-1.3314,-0.941,-0.7629,198005
1.3291,-1.1272,3.0683,0.8596,198006
3.6816,-2.2884,-0.5185,-3.3287,198007
4.7395,0.6597,2.4955,1.4979,198008
0.8408,-0.4912,5.1664,2.2821,198009
1.174,0.4872,4.0221,2.6663,198010
-5.0212,-1.8913,9.0038,0.9803,198011
1.0713,0.9482,-1.3091,0.1328,198012
3.7021,2.3986,-4.8819,0.6518,198101
-0.0201,1.8857,0.7112,1.6607,198102
3.4804,-1.7376,-1.2845,-1.8721,198103
4.1917,2.3693,1.313,1.1015,198104
2.47,-0.5126,-0.031,1.6553,198105
-0.7648,2.7016,-0.0363,1.8916,198106
-1.6118,-1.9632,3.1684,-0.5645,198107
-1.4041,1.2096,0.74,2.2465,198108
-1.7108,3.5737,0.6326,3.9886,198109
1.9553,-0.9336,4.7768,-0.9117,198110
-1.4226,0.5772,0.5431,1.9903,198111
1.2955,1.8902,-0.5258,1.3389,198112
-0.2857,1.9657,-1.4965,0.8404,198201
0.5347,4.692,0.2831,3.089,198202
0.6573,1.8195,-1.7068,2.45,198203
0.437,1.2193,1.8695,0.6936,198204
-0.4127,-0.5062,-0.4732,0.9558,198205
1.1223,2.8447,0.1267,3.4196,198206
1.7394,2.0866,2.8217,3.8912,198207
-3.4326,-0.4869,-1.2647,-2.8913,198208
3.1042,1.0554,3.5292,3.4271,198209
0.8954,-1.0611,-0.7477,-0.6491,198210
4.4763,1.4577,3.1709,3.7709,198211
-0.7835,0.3764,-0.7018,-0.1808,198212
2.1435,-0.7614,-2.4666,-1.8943,198301
3.8038,1.5925,3.0701,1.9979,198302
1.6196,2.8506,1.1981,2.0383,198303
-0.3621,2.1995,0.5916,2.3438,198304
6.0434,-1.5313,-3.5924,-3.8807,198305
2.1425,-1.0979,1.6853,2.6099,198306
0.6681,2.7569,1.1937,2.9514,198307
-4.6885,1.1787,-0.4459,0.3396,198308
0.4367,1.397,3.2821,2.9035,198309
-3.8414,2.6593,1.6621,3.6913,198310
2.0678,1.1428,-0.2408,-1.7563,198311
-1.164,1.3559,-1.5441,1.0883,198312
-0.9886,2.3062,-3.7095,0.8392,198401
-1.812,0.8863,-0.7879,0.6908,198402
-0.1928,0.6821,-0.6009,1.312,198403
-0.9117,1.0645,2.132,2.3956,198404
-0.4235,-1.4753,1.7699,1.8973,198405
0.4679,-2.2039,1.8694,0.7165,198406
-2.2892,-1.283,3.6501,3.0332,198407
0.2207,-0.4721,0.9497,0.0288,198408
-0.7126,2.5781,0.209,1.2392,198409
-1.3929,-0.358,2.6504,1.8062,198410
-1.0682,2.243,0.8066,1.6777,198411
-0.4138,-0.8233,2.5491,1.3251,198412
3.4463,-3.4606,0.9529,-1.6141,198501
0.7706,1.0929,1.5374,2.2266,198502
-2.0582,3.3017,0.9065,2.0077,198503
-0.6881,1.4033,0.1247,1.8037,198504
-1.5703,-1.2322,3.2125,1.5094,198505
-0.5342,-0.1947,2.9012,1.6931,198506
2.3375,-0.8294,-1.8254,1.3221,198507
-0.1861,2.1004,0.4292,1.1911,198508
-1.8363,1.9461,1.1414,1.7401,198509
-0.2049,0.2621,2.1956,2.8545,198510
-0.2591,-1.638,1.7977,-0.9075,198511
0.3141,-1.4699,1.7902,-0.9129,198512
1.0287,-0.7254,1.6748,1.8057,198601
-0.446,-1.4591,2.2462,0.8818,198602
0.6392,1.0696,2.0588,1.7284,198603
1.0715,-1.5687,0.6133,0.0687,198604
-1.1526,1.267,3.424,1.0162,198605
-0.3039,1.6213,5.2675,0.9327,198606
-2.7381,1.3605,3.0084,2.8051,198607
-4.3982,3.0931,-2.7142,1.614,198608
0.5252,3.3941,-3.8265,-0.329,198609
-2.0074,0.0731,0.9152,0.6076,198610
-2.0089,0.3927,1.0808,3.727,198611
0.8322,1.0976,1.8667,1.6189,198612
-1.2051,-1.206,0.9762,2.8949,198701
3.3562,-1.994,2.1102,-1.06,198702
-0.7091,4.1837,-1.1967,1.3292,198703
-2.4604,0.2886,-1.4876,0.5893,198704
-1.2256,-0.0863,-2.3834,-0.152,198705
-1.5056,1.3777,1.3962,-0.2125,198706
-2.0579,0.0959,-1.7836,-0.6777,198707
-0.1822,-0.2525,3.7911,2.4264,198708
0.6217,1.8967,0.5698,1.8495,198709
-7.4882,3.3069,0.3633,2.5112,198710
3.2781,0.6414,-0.6903,0.8775,198711
0.1942,-2.4651,3.8756,1.512,198712
-0.7445,1.338,-4.0738,-1.7589,198801
3.5222,-0.6046,1.0359,-0.548,198802
5.7222,1.6323,-2.1341,-2.0242,198803
0.9164,2.1374,0.6511,0.9069,198804
-1.1973,0.463,-0.1937,1.3535,198805
2.8704,-3.0884,2.2966,1.8386,198806
0.1978,1.1117,-1.1818,0.09,198807
0.0616,1.6653,-2.143,-0.3906,198808
-1.4769,-0.3702,2.1855,0.8178,198809
-2.8242,0.5001,0.077,0.6632,198810
-1.8972,1.4138,-0.4356,0.3435,198811
2.445,0.4296,0.8003,0.4898,198812
-2.2236,0.0239,-0.3618,1.5782,198901
2.9587,1.578,-0.4763,-0.145,198902
1.3245,1.2942,-0.1153,0.7068,198903
-0.9306,-0.2748,1.1544,-0.2083,198904
0.0502,0.0962,1.2157,0.3786,198905
-0.7287,1.5757,-0.1791,-0.9479,198906
-3.4645,-0.4397,4.8851,2.471,198907
0.4908,-0.4494,1.6706,0.2146,198908
0.7485,1.2189,1.6167,1.9062,198909
-3.3582,1.3075,1.3911,2.3063,198910
-1.3393,1.6274,0.2318,-0.4967,198911
-1.9402,1.5698,1.0607,2.4313,198912
-1.2287,0.9179,0.0229,-0.2384,199001
1.1808,-1.1013,-0.3994,0.0998,199002
1.2165,-0.39,2.2304,1.6434,199003
-0.4572,-0.7818,2.2148,0.5999,199004
-1.6536,-0.7959,3.6987,2.6215,199005
1.8531,0.2565,2.2178,-0.2309,199006
-2.4751,4.0115,2.5682,0.0411,199007
-4.516,3.7164,-1.0224,1.2618,199008
-3.4164,2.6031,-0.4763,2.6991,199009
-5.0524,0.2572,2.1035,3.0655,199010
0.4543,-3.9832,1.5068,-0.829,199011
1.2884,-1.9903,3.8744,1.4869,199012
3.3699,-3.9477,0.1467,1.5811,199101
3.6227,0.1527,-1.2271,-0.681,199102
3.9386,-0.9253,1.6725,0.0336,199103
-0.7098,0.4736,1.3908,0.6355,199104
-0.5752,-1.9554,-0.6927,-1.0672,199105
0.0663,0.6281,1.369,0.4713,199106
-0.5438,-0.6573,3.0879,0.3736,199107
1.2856,-0.0439,1.1556,-0.2208,199108
1.8102,-0.8246,-0.3653,0.277,199109
0.653,1.267,0.1021,3.1848,199110
-0.2919,0.2795,3.3436,0.4427,199111
-1.4823,-2.0517,6.7572,-0.4819,199112
8.3435,1.5152,-4.0947,1.4886,199201
1.3866,2.2368,0.7602,2.2047,199202
-1.2026,2.003,1.0144,1.961,199203
-6.951,1.7925,-1.7002,1.9513,199204
-0.2694,0.3129,-0.2016,-0.739,199205
-2.6443,0.6352,1.0312,0.785,199206
-0.7693,0.4004,2.6295,0.0544,199207
-0.3119,-0.7408,1.4856,-0.9159,199208
0.6767,-0.3963,2.3929,-0.8258,199209
1.5295,-0.3951,2.1301,0.6002,199210
3.6265,-1.2597,0.8819,-0.21,199211
2.7478,1.4148,1.8144,1.0234,199212
2.3004,2.9452,-1.4324,0.0798,199301
-3.3377,3.6514,-1.4408,2.3166,199302
0.0007,0.947,1.7886,0.4714,199303
-1.1491,1.2218,-3.0049,2.0458,199304
1.8096,-0.7862,-0.564,-0.3906,199305
1.5931,1.8164,3.0124,1.6362,199306
1.4132,1.4579,-0.5457,0.8878,199307
-0.01,-0.0355,0.4808,0.7241,199308
3.1119,0.2698,0.9296,1.4222,199309
0.4217,-0.5462,-1.4207,-1.4347,199310
-1.861,-0.7556,-0.758,0.1243,199311
2.1179,-0.2518,2.3731,2.2608,199312
0.1737,1.1137,-0.9383,0.9359,199401
2.6587,-0.4873,2.6569,1.6242,199402
-0.9388,0.9514,0.2233,1.3591,199403
-0.826,1.2981,1.5307,1.5047,199404
-1.9787,0.4984,-0.7572,1.2092,199405
-0.858,0.9295,0.1864,1.3322,199406
-1.4279,0.4364,0.7146,-0.1197,199407
2.0881,-0.6869,2.0603,2.6417,199408
2.2136,0.5698,1.0828,0.9959,199409
-1.8428,0.2235,0.3868,2.4574,199410
0.532,-0.9901,1.3723,1.4754,199411
1.0777,1.1041,3.7739,3.7011,199412
-2.4157,-0.0308,-0.0283,1.1285,199501
-0.6967,-0.833,0.5083,1.1642,199502
-1.2134,0.1458,1.2604,0.7807,199503
-0.0073,0.0296,0.139,3.4517,199504
-2.2084,0.8614,-1.0023,1.4499,199505
3.2159,-1.7432,2.1335,1.8421,199506
1.7621,-2.5443,0.9451,0.3125,199507
2.3542,2.1996,0.1377,1.2812,199508
-0.7905,1.9328,1.3917,3.1241,199509
-5.0256,0.7822,2.7798,4.4602,199510
-0.7575,1.1262,-0.2398,-1.3013,199511
0.6312,3.1163,0.2794,0.4136,199512
-2.6868,2.451,-1.5087,1.4254,199601
2.7361,-0.9876,3.1394,0.7778,199602
1.8736,-0.6897,0.2765,-1.3504,199603
5.1861,-1.8073,2.8686,1.1859,199604
4.4625,1.0265,1.8631,-1.4703,199605
-4.2983,1.7381,0.866,1.6771,199606
-3.359,2.0165,2.415,2.9724,199607
2.4813,-1.8529,0.1305,-1.3916,199608
-1.4462,-1.7381,2.2071,2.9848,199609
-2.4191,3.6633,1.8831,3.2962,199610
-3.5342,-1.308,0.8165,5.3963,199611
3.326,1.2226,0.9371,1.7018,199612
-0.7923,-0.6468,1.8122,2.601,199701
-2.4667,2.9153,-1.5374,0.6485,199702
-0.5279,1.7515,1.7709,0.2089,199703
-4.7257,-1.8801,3.8599,2.9735,199704
5.0197,-3.2305,-0.2201,-1.4727,199705
1.0328,0.2313,2.1089,0.1422,199706
-1.4173,-3.0399,1.2853,1.2955,199707
7.4956,-0.7059,-1.419,0.4363,199708
2.4352,-0.1261,-1.042,-2.6033,199709
-1.0927,2.661,-1.0476,-1.4223,199710
-5.5213,2.8803,1.4024,3.6401,199711
-2.2237,2.2364,1.5724,-2.3959,199712
-1.2161,-1.2059,2.1885,2.5963,199801
1.0585,-2.453,1.1389,-0.2927,199802
-0.338,0.4998,-0.1759,-1.0943,199803
0.4968,0.1833,-0.1992,2.279,199804
-2.6345,2.2558,1.7795,1.0587,199805
-3.2845,-1.5154,3.1584,0.422,199806
-5.7047,1.8843,0.9701,2.8503,199807
-6.1863,5.4602,3.0576,6.7098,199808
-2.0608,-3.0813,-1.8245,1.2778,199809
-2.1679,-0.9607,0.6375,-0.5727,199810
0.8962,-0.0256,1.3693,1.2943,199811
-1.8733,-2.9332,2.9291,-2.247,199812
-1.8913,-4.4699,-3.2508,-1.0641,199901
-4.2284,4.8135,0.016,0.0032,199902
-5.5833,0.3158,-0.6922,0.4004,199903
3.9809,2.6555,-5.1524,0.4438,199904
4.9448,0.4504,0.6807,1.8909,199905
3.1515,-2.1112,2.3906,4.3237,199906
2.2729,3.4185,1.0146,1.9684,199907
-1.5532,-1.1963,-0.027,4.6439,199908
1.7396,-1.3963,-0.183,-0.8626,199909
-5.6711,0.3658,2.0651,1.8695,199910
5.7342,-3.9052,-2.9812,1.1544,199911
4.1852,-5.5017,-5.4566,-1.2102,199912
5.6553,2.877,-5.0577,0.6176,200001
22.1388,-5.3857,-7.5459,-3.1427,200002
-14.3931,1.8217,7.6702,3.4913,200003
-4.8628,3.7905,8.7124,5.1811,200004
-4.6174,0.5417,0.0532,3.7442,200005
10.2787,-3.4101,-4.7752,-1.8414,200006
0.9904,2.2537,3.4362,3.3353,200007
0.4376,-0.7811,-2.0644,-1.0693,200008
1.6369,5.2223,2.1,0.8141,200009
-2.2343,2.9384,7.3385,6.4962,200010
1.5258,7.4707,10.3802,10.9273,200011
4.6804,6.3557,5.1867,0.5582,200012
2.7447,-7.159,-10.8188,-6.2915,200101
2.8796,9.2385,5.1685,6.478,200102
2.9541,3.7543,3.4567,2.6452,200103
-0.9038,-3.7774,0.0697,-5.3912,200104
4.3821,2.343,-2.552,-0.2205,200105
6.6908,-1.7623,-0.7497,1.9299,200106
-2.1195,1.3779,3.9514,5.5112,200107
2.3709,5.6422,4.3144,5.6464,200108
-4.9236,2.867,9.1891,5.76,200109
3.4894,-2.9725,-4.3908,-0.5554,200110
-1.3893,-1.1368,-8.4913,-2.9851,200111
5.32,-0.183,0.5407,-2.2439,200112
0.7248,3.2511,0.3006,4.281,200201
-0.4901,4.4486,5.3203,3.7201,200202
4.6128,0.7823,-4.7043,-0.5513,200203
7.5861,4.0765,5.4624,4.0812,200204
-3.1797,2.1871,1.8112,0.62,200205
3.5661,3.5486,4.9411,0.5052,200206
-6.3908,1.979,6.7012,4.9693,200207
-0.0079,-0.8647,2.474,-1.719,200208
3.132,-2.1444,4.4225,1.1112,200209
-5.1422,0.2933,-4.6543,1.4936,200210
1.4963,3.273,-11.1761,-3.1026,200211
0.0684,-2.2586,5.321,2.2789,200212
-0.9882,0.6899,-0.5955,0.7808,200301
-2.0293,-0.1271,0.9028,1.422,200302
1.4093,-0.1302,3.4408,-0.9357,200303
2.3548,1.0369,-4.4513,-2.9406,200304
3.8176,1.848,-8.2334,-1.6032,200305
2.2207,-1.0629,1.0952,-0.1288,200306
4.3771,2.3396,-1.7424,-0.8825,200307
2.2385,2.3638,-1.2401,-1.6415,200308
0.6891,0.2277,1.2633,2.326,200309
3.0467,1.0318,-1.7515,-0.5641,200310
2.1953,2.3057,0.7762,0.538,200311
-2.7805,0.7725,-1.7383,-1.334,200312
3.112,2.0594,-2.4369,0.8594,200401
-0.3085,-0.8838,2.1338,-0.0153,200402
2.5224,-0.7362,1.7567,-1.0655,200403
-3.2184,-2.9004,0.0193,1.4279,200404
-0.3821,0.5514,1.068,-0.2318,200405
2.24,-0.2619,0.5621,0.6269,200406
-3.3495,-0.9785,2.408,3.0803,200407
-1.5174,-1.198,-1.2288,0.174,200408
3.7959,-2.2133,-0.2111,-1.6158,200409
-0.7837,0.5838,-1.4395,0.004,200410
4.4735,-0.4264,-1.1336,-1.6609,200411
-0.0412,0.3017,-0.8596,-1.1295,200412
-0.3928,-0.4056,3.2477,1.2607,200501
0.1451,0.2944,3.5699,0.6629,200502
-1.7445,0.939,0.5349,1.896,200503
-4.4796,-1.4562,-1.1017,2.1601,200504
2.965,-0.0566,0.9639,0.4256,200505
3.8091,-0.1977,-0.4262,-0.4161,200506
2.7309,-2.074,-0.2059,-0.4035,200507
-0.7893,0.2364,-0.6859,-0.6059,200508
0.006,-0.0283,0.858,0.2586,200509
-0.5142,-0.3185,1.1029,-0.5479,200510
1.2181,-1.0467,0.7767,-0.6024,200511
-0.0273,0.883,0.2218,1.0852,200512
6.4402,-0.6827,-0.2638,0.8866,200601
-0.389,2.4367,-1.0088,-1.0037,200602
3.1186,-1.346,0.7682,-0.7596,200603
-0.3044,0.3425,0.8234,-0.1292,200604
-3.5172,1.325,-0.0888,-1.5981,200605
-0.3339,-0.3929,1.043,0.6258,200606
-3.1577,1.3537,0.5428,3.2009,200607
0.4273,1.9388,-1.3468,-0.1832,200608
-0.9705,0.9799,0.6275,0.9709,200609
1.9698,0.1918,-0.296,0.462,200610
0.3964,-1.5952,0.4888,-0.9004,200611
-0.0042,1.8246,-0.5628,-1.2461,200612
-0.1009,0.6221,0.0118,0.0703,200701
1.4359,-0.9611,-0.7334,-0.0718,200702
-0.178,-1.188,0.4424,-0.2303,200703
-1.7301,0.8545,0.5498,1.0935,200704
-0.2546,-2.3088,0.5239,0.1458,200705
0.5385,0.9411,1.1967,-0.5621,200706
-3.0193,-2.2856,1.642,0.0472,200707
-0.842,-1.2721,0.9739,0.4942,200708
-2.3839,-3.2471,1.6055,-0.4681,200709
0.3655,0.4823,1.2436,0.3453,200710
-3.0333,0.2065,3.6053,1.4353,200711
0.6752,-0.6393,2.2799,1.0564,200712
-0.7347,1.4006,-0.3167,-0.8172,200801
-0.8811,-1.5042,1.7886,1.3603,200802
0.5829,-0.354,2.3741,-0.0316,200803
-0.9404,-2.305,-0.8079,3.3593,200804
2.536,-0.3597,-0.3368,0.075,200805
1.8774,-0.1827,6.3612,1.0358,200806
5.981,1.8225,0.0123,-0.0734,200807
1.8221,0.9431,-0.8724,2.079,200808
0.631,3.1597,1.5905,3.4517,200809
-3.4756,1.0559,5.8963,6.7538,200810
-5.2003,0.5054,3.507,2.1843,200811
3.6022,-2.3453,-0.5557,-0.8413,200812
-2.9342,-0.9213,-0.7728,2.4104,200901
-1.573,-1.8538,2.9624,2.9331,200902
0.9873,-0.4478,-3.3696,0.0816,200903
7.2754,3.5022,-13.8303,-1.7731,200904
-1.3219,-2.4194,-3.32,-0.5692,200905
3.749,0.5171,0.896,2.4952,200906
1.6913,1.9783,-4.8912,-1.0333,200907
0.8673,2.2613,-2.5999,-1.5815,200908
2.4649,-1.1546,-2.8172,-2.6301,200909
-4.6122,-0.2445,3.9463,3.021,200910
-2.383,-0.3537,1.0285,-0.3254,200911
4.821,-0.1761,-1.8537,-0.1478,200912
0.3739,0.6769,-1.065,-0.6351,201001
1.524,0.7588,-1.0401,-0.5165,201002
2.021,1.5728,-0.512,-1.6988,201003
3.905,3.0547,-2.487,-2.3485,201004
0.047,-0.4527,2.7206,1.7265,201005
-2.3708,-2.4624,1.3279,1.9251,201006
0.4811,1.2242,-0.853,0.3616,201007
-3.6375,-1.777,-0.5599,-0.6431,201008
3.9473,1.1549,0.5214,0.0482,201009
0.6884,-0.0068,0.6453,0.4416,201010
3.6487,1.8594,-0.0799,-0.6156,201011
0.4459,3.0261,-3.6697,-2.246,201012
-2.0114,1.3161,0.5565,-1.3445,201101
1.3916,1.4321,-1.6578,-0.8191,201102
1.8477,-0.1252,-0.9511,0.2826,201103
-0.8838,-0.9693,1.5871,1.088,201104
-0.8716,-1.0162,0.1307,1.387,201105
0.4603,-1.152,2.8109,1.0019,201106
-1.7743,-2.0383,0.735,0.659,201107
-3.7195,-1.3168,2.5618,2.7071,201108
-4.7805,0.0766,-0.7641,4.899,201109
5.1817,-0.5881,2.1401,-1.7028,201110
-1.134,1.5244,0.5813,1.216,201111
0.1225,2.6695,1.1493,-0.6067,201112
2.7843,-0.574,-0.6313,-1.3211,201201
-0.6734,0.0789,0.2918,0.0126,201202
0.7124,1.4304,1.658,1.7917,201203
-1.1503,0.9546,1.001,-0.3467,201204
-0.8859,2.6812,1.6157,2.3402,201205
1.492,1.0221,-1.7624,0.3499,201206
-3.0745,0.5135,1.5412,0.9705,201207
1.4166,-1.4606,-0.502,-0.4018,201208
1.1813,1.1797,0.1849,-0.6712,201209
0.2205,1.8562,0.4568,-3.7341,201210
0.3591,0.8177,1.7114,0.1462,201211
2.4208,-0.8266,-1.9931,-2.6203,201212
0.1941,1.5365,-2.101,-1.6364,201301
-0.6155,0.7549,0.1044,0.435,201302
1.0762,1.2925,0.4876,-1.153,201303
-2.8535,0.1119,-1.0102,-0.2853,201304
3.519,-1.6561,-0.3939,-1.4499,201305
0.7611,0.7015,-0.1332,0.6054,201306
2.0932,0.6474,-0.4727,-1.1494,201307
-0.2093,-1.7841,0.5517,0.1749,201308
2.4392,-0.7254,-0.9958,-1.002,201309
-1.6175,1.1611,1.3367,0.8084,201310
1.9315,0.0148,1.5439,1.1916,201311
-0.4377,0.7392,-0.1745,-1.7369,201312
0.3324,-0.2918,-2.3143,0.3313,201401
-0.3063,-0.6297,-1.4762,-0.0368,201402
-0.1647,2.7038,1.7736,1.4456,201403
-4.6826,0.8015,1.0816,0.6512,201404
-2.0338,-0.9378,-0.6521,0.5206,201405
2.2437,-2.6584,-2.5859,0.2655,201406
-3.5649,0.7158,1.199,1.2308,201407
0.4475,-0.9247,0.1456,0.2192,201408
-3.1012,-0.3101,3.0612,2.1414,201409
3.6195,0.5283,1.6833,-0.1931,201410
-1.9759,0.3424,2.5233,0.3859,201411
2.769,0.4723,-0.6545,0.2692,201412
-1.5776,-1.0726,-0.3729,1.373,201501
