date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196509,    2.89,    2.85,    4.08,    4.14,    4.36,    3.23,    1.70,    2.79,    2.94,    4.18,    3.97,    4.02,    4.26,    5.17,    3.46
196510,    1.54,    2.81,    5.32,    5.80,    7.54,    1.55,    1.53,    2.43,    3.32,    5.17,    5.52,    5.54,    6.21,    6.95,    8.37
196511,   -1.40,   -0.02,    3.22,    4.79,    6.67,   -2.12,    0.70,   -0.68,    0.84,    2.77,    4.08,    3.06,    6.81,    3.37,   10.53
196512,    0.12,    2.23,    2.49,    4.61,    3.70,   -0.49,    1.44,    2.93,    1.43,    2.21,    2.77,    4.02,    5.25,    3.37,    4.08
196601,   -0.73,    1.55,    3.68,    6.19,    5.67,   -1.16,    0.33,    1.57,    1.53,    3.63,    3.74,    6.83,    5.33,    4.66,    7.03
196602,   -2.18,   -2.15,    1.76,    2.60,    5.66,   -2.82,   -0.83,   -2.33,   -1.90,    1.76,    1.77,    1.39,    3.86,    5.04,    6.32
196603,   -2.90,   -1.11,   -1.17,   -0.95,   -2.15,   -3.19,   -2.10,   -0.57,   -1.70,   -3.39,    1.98,    0.89,   -3.15,   -2.73,   -1.69
196604,    1.79,    1.20,    4.63,    4.18,    5.10,    1.67,    2.08,    1.15,    1.28,    4.04,    5.45,    2.69,    5.56,    3.81,    6.52
196605,   -4.18,   -3.74,   -6.44,   -8.40,  -11.89,   -4.06,   -4.68,   -3.13,   -4.34,   -6.52,   -6.33,   -8.23,   -8.63,  -10.93,  -12.84
196606,   -2.03,   -0.16,   -0.70,   -0.29,    2.42,   -2.24,   -1.48,    0.08,   -0.45,   -1.35,    0.33,   -1.08,    0.67,    2.48,    2.36
196607,   -0.54,   -2.02,   -2.11,   -1.81,   -2.34,   -0.36,   -0.91,   -2.99,   -0.60,   -1.61,   -2.99,   -3.18,   -0.16,   -0.79,   -3.94
196608,   -6.27,   -8.65,   -8.08,   -8.99,  -10.17,   -5.85,   -7.04,   -7.95,   -9.48,   -8.30,   -7.67,   -9.18,   -8.76,   -9.27,  -11.51
196609,   -0.22,    0.70,   -0.46,   -2.64,   -4.87,    0.35,   -1.77,   -0.25,    2.13,    0.53,   -1.67,   -1.64,   -4.10,   -5.37,   -4.22
196610,    5.78,    5.24,    5.43,    2.30,   -6.26,    6.31,    4.36,    6.46,    3.79,    6.00,    4.64,    4.10,   -0.74,   -4.59,   -9.04
196611,   -0.89,    1.67,    2.28,    5.99,   14.23,   -1.48,    0.06,    2.25,    1.03,    1.93,    2.72,    4.22,    8.18,   14.98,   12.86
196612,   -0.12,    0.64,    1.70,    1.02,    1.39,    0.01,   -0.41,    1.06,    0.19,    2.73,    0.42,   -0.07,    2.46,    2.03,    0.34
196701,    6.91,    7.35,   10.22,   11.64,   18.59,    7.52,    5.57,    6.89,    7.86,    9.49,   10.85,   10.06,   14.11,   15.18,   22.98
196702,    0.67,    0.64,    1.87,    1.81,    4.45,    1.37,   -0.70,   -0.28,    1.62,    2.16,    1.46,    2.43,    1.09,    2.89,    5.95
196703,    3.82,    4.59,    4.98,    6.76,    4.96,    3.29,    4.65,    5.23,    3.89,    4.57,    5.65,    5.93,    8.25,    3.79,    6.24
196704,    3.99,    3.37,    5.93,    4.95,    5.18,    3.51,    4.91,    2.64,    4.21,    4.43,    7.72,    5.79,    3.98,    6.53,    3.88
196705,   -4.40,   -3.87,   -4.11,   -2.48,   -2.25,   -3.93,   -5.31,   -3.63,   -4.16,   -4.40,   -3.81,   -3.24,   -1.62,   -1.68,   -2.82
196706,    1.49,    1.34,    3.86,    6.41,   10.60,    1.48,    1.50,    1.11,    1.69,    4.31,    3.36,    5.73,    7.32,    8.66,   12.18
196707,    3.58,    5.36,    5.70,    7.70,    8.29,    2.58,    6.10,    6.98,    3.99,    5.24,    6.34,    7.91,    7.45,    7.25,    9.46
196708,   -0.72,   -0.37,    0.36,   -1.17,   -1.48,   -1.05,   -0.38,    0.96,   -1.72,    0.90,   -0.50,   -0.48,   -2.23,   -1.03,   -1.95
196709,    3.43,    2.86,    3.32,    3.26,    5.35,    4.47,    2.55,    2.89,    2.83,    3.40,    3.21,    2.43,    4.52,    4.35,    6.26
196710,   -1.67,   -4.91,   -5.04,   -0.37,   -2.35,    0.23,   -3.45,   -5.07,   -4.74,   -5.04,   -5.05,   -0.42,   -0.32,   -1.72,   -2.93
196711,    0.88,   -0.38,    0.93,    1.64,    0.92,    0.60,    1.49,   -0.95,    0.26,    1.00,    0.86,    1.69,    1.57,    1.61,    0.27
196712,    2.66,    2.52,    2.14,    5.62,    9.33,    2.13,    4.02,    1.39,    3.89,    2.44,    1.79,    4.78,    6.93,    6.40,   12.48
196801,   -2.21,   -5.26,   -4.30,   -6.40,   -4.11,   -1.86,   -3.18,   -5.25,   -5.29,   -3.18,   -5.41,   -6.47,   -6.29,   -6.30,   -2.38
196802,   -1.90,   -3.64,   -3.68,   -5.53,   -9.14,   -1.67,   -2.46,   -2.58,   -5.09,   -3.90,   -3.41,   -6.24,   -4.38,   -8.01,  -10.03
196803,    0.65,   -0.07,    0.95,    2.33,   -0.44,    1.13,   -0.43,   -0.73,    0.77,    1.56,    0.17,    2.13,    2.58,    1.87,   -2.25
196804,    7.34,    9.81,   10.33,   13.47,   17.04,    6.82,    8.95,    9.76,    9.86,    9.96,   10.77,   13.80,   13.18,   17.09,   17.00
196805,    1.10,    2.59,    3.82,    4.89,    8.79,    0.90,    1.67,    2.52,    2.71,    4.00,    3.65,    4.87,    4.91,    8.03,    9.47
196806,    1.79,    1.20,    1.04,   -0.10,   -1.60,    1.43,    2.69,    1.26,    1.11,    1.02,    1.07,   -0.36,    0.34,   -0.76,   -2.35
196807,   -0.92,   -2.67,   -3.07,   -6.39,   -4.62,   -0.62,   -1.53,   -3.09,   -2.17,   -2.58,   -3.50,   -6.67,   -6.09,   -5.55,   -3.86
196808,    1.23,    2.13,    3.17,    1.84,    3.04,    1.00,    1.65,    1.97,    2.35,    3.95,    2.33,    1.95,    1.71,    2.70,    3.25
196809,    2.84,    4.64,    5.25,    7.15,    9.70,    3.33,    2.19,    5.13,    3.97,    5.10,    5.42,    6.95,    7.36,    8.16,   10.84
196810,    1.10,    1.49,    1.97,   -0.09,   -2.19,    1.28,    0.75,    0.89,    2.24,    2.97,    0.67,    0.07,   -0.31,   -1.65,   -2.57
196811,    4.39,    6.21,    7.39,    8.17,    8.71,    4.37,    4.44,    6.39,    5.94,    7.32,    7.46,    8.21,    8.11,    9.33,    8.25
196812,   -4.56,   -2.85,   -2.89,   -2.54,   -0.85,   -4.73,   -4.13,   -2.48,   -3.34,   -2.70,   -3.15,   -2.75,   -2.33,   -2.28,    0.40
196901,   -0.77,    0.18,   -0.80,   -1.61,   -2.49,   -1.01,   -0.05,    0.34,   -0.02,    0.24,   -1.78,   -0.93,   -2.32,   -3.51,   -1.59
196902,   -2.98,   -5.84,   -7.10,   -8.14,  -10.79,   -2.32,   -4.84,   -5.81,   -5.89,   -6.21,   -8.15,   -6.82,   -9.56,  -10.66,  -10.91
196903,    3.44,    3.31,    3.19,    2.07,    1.91,    3.38,    3.57,    3.49,    3.08,    3.32,    3.02,    1.20,    3.01,    2.47,    1.36
196904,    2.49,    1.65,    1.07,    1.78,    1.68,    2.76,    1.89,    1.62,    1.69,    0.73,    1.47,    1.57,    2.12,    2.14,    1.22
196905,    0.69,    0.46,   -0.66,    0.25,   -0.12,    0.51,    1.11,    0.80,    0.13,   -0.65,   -0.67,    1.66,   -2.32,    0.29,   -0.54
196906,   -3.79,   -6.93,   -8.77,  -10.46,  -14.57,   -3.38,   -4.73,   -6.94,   -6.92,   -7.68,  -10.04,   -9.72,  -11.51,  -12.76,  -16.08
196907,   -4.98,   -6.75,   -7.03,   -8.49,  -11.39,   -5.29,   -4.08,   -6.22,   -7.26,   -6.55,   -7.69,   -6.91,  -10.54,  -11.08,  -11.64
196908,    3.79,    5.12,    7.11,    7.23,    8.08,    3.67,    4.12,    5.48,    4.77,    7.30,    6.84,    6.56,    7.97,    7.60,    8.50
196909,   -2.51,   -1.05,   -3.71,   -3.13,   -2.32,   -2.60,   -2.19,   -1.28,   -0.67,   -3.64,   -3.78,   -4.45,   -0.86,   -1.76,   -2.83
196910,    4.93,    5.09,    5.68,    8.74,    7.78,    3.74,    7.34,    6.13,    4.16,    4.31,    7.86,    9.36,    8.07,    7.70,    7.87
196911,   -2.65,   -3.35,   -3.27,   -4.44,   -6.07,   -2.65,   -2.66,   -3.76,   -2.86,   -2.58,   -4.15,   -3.81,   -4.98,   -4.66,   -7.39
196912,   -0.70,   -2.56,   -1.97,   -3.58,   -6.56,   -1.38,    0.92,   -2.83,   -2.20,   -2.57,   -1.00,   -3.74,   -3.38,   -4.15,   -8.67
197001,   -6.25,   -7.43,   -9.49,  -10.58,   -9.63,   -6.22,   -6.30,   -6.89,   -8.12,   -8.99,   -9.95,  -10.41,  -10.77,  -10.03,   -9.29
197002,    5.37,    6.38,    6.93,    7.06,    2.72,    5.40,    5.29,    7.06,    5.66,    7.15,    6.71,    7.19,    6.84,    4.15,    1.33
197003,    0.33,    0.54,   -0.70,   -2.54,   -5.11,    1.35,   -2.14,    1.53,   -0.94,    0.33,   -2.15,   -1.88,   -3.35,   -4.52,   -5.70
197004,   -8.16,   -9.23,  -12.76,  -14.34,  -19.96,   -8.24,   -7.97,   -8.57,   -9.97,  -11.83,  -13.97,  -13.18,  -16.01,  -17.55,  -21.99
197005,   -5.51,   -5.54,   -6.86,   -8.67,  -11.89,   -5.68,   -5.08,   -5.52,   -5.57,   -7.19,   -6.51,   -7.45,  -10.05,  -10.84,  -13.12
197006,   -4.19,   -4.57,   -5.53,   -9.20,  -11.95,   -4.52,   -3.35,   -3.11,   -6.34,   -4.12,   -6.90,   -8.56,   -9.80,  -12.01,  -11.91
197007,    7.25,    7.28,    9.37,    7.58,    6.32,    7.52,    6.42,    5.76,    8.90,   10.73,    7.79,    7.59,    7.57,    8.92,    3.75
197008,    4.36,    4.08,    6.32,    7.96,    9.64,    4.54,    3.85,    3.62,    4.69,    5.46,    7.64,    6.18,   10.07,   10.96,    8.29
197009,    2.29,    4.32,    7.05,   10.26,   17.80,    1.83,    3.48,    3.61,    5.35,    6.36,    7.96,    9.63,   11.04,   15.34,   20.44
197010,   -0.43,   -0.83,   -3.40,   -6.39,  -10.10,   -0.55,   -0.12,   -0.22,   -1.41,   -3.04,   -3.87,   -4.77,   -8.52,   -8.64,  -11.67
197011,    6.00,    4.50,    4.78,    3.93,   -0.91,    6.30,    5.11,    4.42,    4.61,    4.81,    4.74,    3.77,    4.15,    0.82,   -2.56
197012,    5.36,    7.21,    6.89,    8.69,    6.45,    5.48,    5.01,    6.61,    7.87,    6.78,    7.05,    7.72,   10.25,    8.92,    3.93
197101,    3.45,    5.73,    7.19,   11.22,   13.33,    2.92,    5.15,    4.27,    7.21,    6.13,    8.28,   10.08,   12.74,   11.94,   14.84
197102,    1.10,    1.91,    2.80,    3.11,    4.13,    1.01,    1.39,    1.97,    1.85,    1.78,    4.20,    3.05,    3.19,    3.36,    4.87
197103,    4.13,    3.63,    5.73,    5.63,    5.98,    4.19,    4.00,    3.35,    4.05,    5.53,    6.00,    4.68,    7.20,    6.09,    5.84
197104,    3.13,    2.86,    4.65,    5.83,    3.22,    2.60,    4.73,    1.90,    4.09,    4.46,    4.85,    5.76,    5.93,    3.25,    3.20
197105,   -3.96,   -2.85,   -2.54,   -4.55,   -5.64,   -4.20,   -3.10,   -3.10,   -2.49,   -2.85,   -2.01,   -4.06,   -5.29,   -5.09,   -6.18
197106,    0.81,    0.90,   -0.17,   -0.72,   -3.93,    0.43,    1.76,    0.37,    1.80,    0.63,   -1.28,    0.02,   -1.69,   -3.93,   -3.93
197107,   -3.30,   -3.57,   -4.35,   -6.35,   -9.09,   -3.30,   -3.31,   -3.16,   -4.10,   -4.07,   -4.71,   -6.32,   -6.40,   -8.33,   -9.89
197108,    3.87,    3.66,    4.70,    6.62,    5.88,    3.96,    3.69,    3.94,    3.27,    3.46,    6.00,    7.09,    5.90,    7.83,    4.22
197109,    0.23,   -1.45,   -0.41,   -1.42,   -1.33,    0.69,   -0.94,   -1.91,   -0.85,   -0.03,   -1.00,   -1.65,   -1.06,    0.07,   -2.57
197110,   -2.57,   -3.96,   -5.72,   -7.13,   -7.82,   -1.59,   -4.75,   -3.43,   -5.03,   -5.45,   -6.20,   -6.71,   -7.63,   -6.03,   -9.49
197111,    0.74,   -0.13,   -0.69,   -1.43,   -4.21,    0.96,    0.33,   -0.04,   -0.26,    0.39,   -2.60,   -0.39,   -2.96,   -4.28,   -4.14
197112,    8.29,    8.59,    9.31,   12.24,   13.71,    7.95,    9.34,    8.67,    8.49,    9.10,    9.59,   11.15,   13.77,   13.76,   13.66
197201,    1.88,    1.14,    4.20,    5.38,   10.17,    2.41,    0.85,    0.38,    2.32,    2.68,    6.10,    3.86,    7.33,    8.27,   12.33
197202,    2.61,    3.12,    4.12,    4.47,    4.19,    1.51,    4.69,    2.30,    4.32,    5.12,    3.12,    4.72,    4.13,    4.49,    3.85
197203,    1.57,    0.41,   -0.07,   -0.15,   -0.86,    1.82,    0.96,    0.08,    0.80,   -0.75,    0.83,    0.08,   -0.41,   -0.93,   -0.78
197204,    0.06,    1.75,    0.68,    1.67,   -0.77,   -0.36,    0.97,    2.31,    0.76,    0.83,    0.41,    0.13,    3.04,    0.66,   -2.15
197205,    2.35,    1.61,    0.51,    0.42,   -1.31,    2.42,    2.17,    2.40,    0.46,    0.73,    0.03,    0.80,    0.01,    0.16,   -2.72
197206,   -1.41,   -1.85,   -3.44,   -4.89,   -3.36,   -1.16,   -2.07,   -1.41,   -2.32,   -3.64,   -3.17,   -5.15,   -4.59,   -3.68,   -3.02
197207,    1.23,   -0.53,   -2.46,   -4.86,   -5.66,    1.35,    0.94,   -0.91,   -0.06,   -2.36,   -2.58,   -4.73,   -5.01,   -3.55,   -7.83
197208,    3.71,    4.37,    3.57,    3.33,   -0.02,    3.45,    4.33,    4.62,    4.00,    3.62,    3.52,    3.90,    2.61,    1.22,   -1.25
197209,    0.25,   -0.83,   -1.13,   -3.06,   -5.03,    0.55,   -0.37,   -0.11,   -1.62,   -1.11,   -1.17,   -3.09,   -3.01,   -4.31,   -5.85
197210,    1.29,    1.42,    0.81,    0.33,   -3.11,   -0.07,    3.62,    1.47,    1.36,    1.37,   -0.03,    1.69,   -1.33,   -1.42,   -4.72
197211,    4.01,    5.99,    6.77,    5.43,    5.72,    4.24,    3.50,    6.10,    5.87,    6.11,    8.07,    4.65,    6.28,    7.08,    4.38
197212,    2.02,    0.97,   -0.20,   -2.08,   -2.31,    2.45,    1.10,    1.48,    0.19,   -0.32,   -0.01,   -1.57,   -2.55,   -1.03,   -3.60
197301,   -0.30,   -3.99,   -6.14,   -7.23,   -9.61,    0.65,   -2.30,   -2.71,   -5.84,   -6.30,   -5.92,   -6.23,   -8.37,   -8.40,  -10.97
197302,   -3.12,   -4.27,   -5.96,   -6.71,  -10.09,   -3.09,   -3.19,   -3.21,   -5.56,   -5.61,   -6.43,   -7.42,   -6.06,   -9.33,  -10.88
197303,   -0.45,   -0.50,   -0.62,   -1.19,   -2.84,   -0.25,   -0.97,    0.65,   -1.85,   -0.50,   -0.79,   -0.15,   -2.90,   -2.04,   -3.92
197304,   -3.29,   -4.75,   -8.36,   -7.94,  -11.06,   -2.87,   -4.31,   -5.15,   -4.21,   -9.30,   -7.33,   -6.41,   -9.87,  -10.32,  -11.64
197305,   -0.77,   -2.64,   -2.88,   -5.46,  -10.52,   -1.30,    0.26,   -2.70,   -2.57,   -2.63,   -3.15,   -4.48,   -6.41,   -9.72,  -11.19
197306,    0.04,   -1.16,   -2.65,   -3.45,   -4.76,   -0.40,    0.77,   -0.82,   -1.70,   -3.69,   -1.10,   -3.31,   -3.61,   -5.58,   -3.94
197307,    2.15,    5.86,   12.32,   13.52,   17.91,    1.46,    3.81,    4.35,    7.89,   12.75,   11.72,   13.24,   13.91,   16.92,   18.95
197308,   -3.38,   -2.55,   -2.56,   -1.95,   -6.23,   -3.77,   -2.26,   -3.09,   -1.65,   -0.76,   -4.78,   -1.21,   -2.90,   -4.00,   -8.72
197309,    2.60,    7.76,    7.95,    9.55,   11.56,    1.63,    5.34,    6.36,   10.06,    7.00,    9.37,    9.99,    8.96,   12.83,   10.34
197310,   -0.43,    2.00,   -1.90,   -1.40,   -3.48,   -0.79,    0.27,    3.11,   -0.12,   -1.42,   -2.55,    0.04,   -3.46,   -3.80,   -3.21
197311,   -9.71,  -11.70,  -14.70,  -18.32,  -21.64,   -9.90,   -9.36,  -11.96,  -11.43,  -13.43,  -17.24,  -18.23,  -18.43,  -22.34,  -20.96
197312,    1.68,    1.98,    0.60,   -1.70,   -1.76,    0.99,    3.35,    1.81,    2.28,    0.73,    0.39,   -1.08,   -2.51,   -0.78,   -2.76
197401,   -0.41,   -1.12,    1.82,    4.90,    9.29,   -0.51,   -0.19,   -1.95,    0.09,    0.46,    3.30,    1.28,   10.04,    6.51,   12.27
197402,    0.16,   -0.04,    0.03,    0.83,   -0.55,   -0.34,    1.24,    0.79,   -1.15,    0.02,    0.06,    0.19,    1.55,   -0.50,   -0.60
197403,   -2.13,   -2.60,   -1.32,   -3.89,   -2.21,   -1.94,   -2.50,   -2.31,   -3.02,   -1.13,   -1.65,   -4.42,   -3.24,   -3.33,   -0.82
197404,   -4.20,   -3.98,   -4.87,   -6.16,   -7.37,   -4.22,   -4.13,   -3.54,   -4.68,   -3.83,   -6.31,   -5.41,   -7.27,   -6.43,   -8.50
197405,   -2.66,   -4.35,   -5.14,   -7.32,   -9.50,   -1.79,   -5.12,   -4.97,   -3.52,   -5.66,   -4.37,   -6.48,   -8.32,   -9.52,   -9.48
197406,   -1.49,   -1.82,   -3.90,   -3.91,   -6.00,   -0.83,   -3.72,   -0.92,   -3.19,   -4.24,   -3.48,   -2.52,   -6.01,   -4.97,   -7.02
197407,   -7.87,   -7.80,   -5.92,   -5.08,   -6.22,   -8.64,   -5.34,   -8.70,   -6.29,   -6.08,   -5.65,   -5.49,   -4.64,   -7.51,   -4.05
197408,   -8.01,  -10.39,   -8.72,   -9.67,  -10.47,   -7.58,   -9.22,   -9.72,  -11.41,   -9.31,   -8.10,  -10.07,   -9.13,  -10.15,  -10.90
197409,  -11.50,   -9.36,   -9.02,  -12.53,  -11.76,  -10.98,  -12.80,  -10.02,   -8.56,   -9.24,   -8.82,  -13.42,  -11.31,  -10.81,  -12.77
197410,   14.81,   18.90,   18.87,   20.17,   17.22,   13.71,   17.36,   18.31,   19.48,   16.00,   22.12,   20.45,   19.69,   18.52,   15.16
197411,   -4.46,   -3.95,   -1.35,   -4.26,   -6.33,   -4.82,   -3.73,   -5.01,   -2.67,   -1.48,   -1.15,   -4.46,   -4.05,   -5.65,   -7.36
197412,   -0.89,   -3.83,   -4.92,   -4.38,   -8.49,   -1.16,   -0.43,   -3.81,   -3.87,   -4.47,   -5.39,   -4.06,   -4.70,   -5.87,  -12.05
197501,   11.00,   16.38,   15.19,   21.91,   28.92,    9.75,   13.08,   13.81,   20.81,   12.88,   17.53,   21.34,   22.56,   27.17,   31.42
197502,    6.08,    5.57,    6.05,    6.69,    5.64,    3.61,    9.00,    4.90,    6.64,    4.57,    8.12,    4.85,    9.22,    7.58,    2.62
197503,    1.56,    2.96,    5.80,    6.93,   10.80,    1.48,    1.65,    3.18,    2.61,    5.75,    5.88,    6.82,    7.08,   10.39,   11.52
197504,    4.39,    4.55,    5.16,    6.42,    4.15,    3.99,    5.08,    4.09,    5.63,    6.20,    3.43,    6.45,    6.40,    6.05,    1.33
197505,    4.68,    6.44,    6.39,    8.16,    8.95,    4.44,    5.12,    6.08,    6.97,    4.62,    8.55,    8.62,    7.56,    8.44,    9.76
197506,    4.53,    6.14,    6.23,    5.93,    6.84,    4.20,    5.23,    5.66,    6.68,    5.97,    6.68,    5.08,    7.32,    7.11,    6.47
197507,   -6.07,   -6.35,   -6.42,   -5.80,   -5.44,   -6.14,   -5.89,   -6.23,   -6.54,   -7.03,   -5.44,   -6.10,   -5.43,   -5.92,   -4.82
197508,   -1.82,   -2.00,   -3.37,   -4.31,   -6.70,   -1.85,   -1.76,   -1.53,   -2.63,   -2.89,   -4.14,   -3.78,   -4.95,   -6.16,   -7.36
197509,   -3.03,   -4.65,   -4.18,   -4.81,   -5.86,   -3.05,   -2.97,   -4.06,   -5.42,   -4.37,   -3.89,   -4.48,   -5.29,   -5.49,   -6.29
197510,    6.16,    6.15,    6.20,    5.10,    0.92,    6.99,    4.39,    6.71,    5.40,    6.07,    6.37,    5.51,    4.58,    2.01,   -0.56
197511,    3.08,    2.62,    3.25,    4.47,    2.05,    3.28,    2.56,    2.34,    3.00,    3.07,    3.50,    4.82,    4.04,    2.67,    1.20
197512,   -1.28,   -0.84,   -1.57,   -0.32,    0.01,   -1.01,   -1.78,   -1.12,   -0.55,   -1.63,   -1.47,    0.11,   -0.84,   -0.68,    0.82
197601,   11.18,   12.12,   16.42,   16.13,   19.52,   10.49,   13.51,   10.35,   15.56,   15.63,   17.68,   15.22,   17.17,   18.50,   20.88
197602,   -0.61,    0.03,    2.28,    5.66,   10.47,   -0.65,   -0.49,   -1.03,    1.47,    2.51,    1.96,    4.76,    6.65,    7.80,   14.22
197603,    3.23,    1.62,    2.53,    2.17,    2.36,    3.24,    3.22,    1.75,    1.39,    2.72,    2.33,    1.82,    2.53,    3.44,    1.21
197604,   -0.42,   -1.64,   -1.68,   -2.83,   -3.12,   -0.50,   -0.22,   -1.91,   -1.05,   -0.76,   -2.75,   -3.89,   -1.61,   -2.58,   -3.63
197605,   -1.00,   -0.73,   -0.56,   -1.19,   -2.42,   -1.37,   -0.13,   -1.04,   -0.31,   -0.01,   -1.33,   -1.79,   -0.40,   -1.35,   -3.47
197606,    3.92,    4.98,    5.90,    6.09,    4.70,    3.63,    4.69,    4.78,    5.25,    6.55,    5.17,    6.29,    5.77,    5.23,    4.08
197607,   -0.52,    0.12,   -1.46,   -1.33,   -1.34,   -0.64,   -0.23,   -0.79,    1.44,   -1.36,   -1.61,   -1.41,   -1.23,   -1.23,   -1.44
197608,    0.61,   -0.52,   -0.67,   -2.10,   -3.77,    0.78,    0.16,   -0.82,   -0.08,   -0.63,   -0.72,   -1.71,   -2.62,   -3.70,   -3.86
197609,    2.69,    1.88,    2.80,    2.37,    2.67,    2.51,    3.03,    1.88,    1.88,    3.02,    2.55,    2.24,    2.59,    3.82,    1.20
197610,   -1.74,   -1.65,   -2.80,   -3.72,   -2.91,   -1.69,   -1.84,   -0.91,   -2.71,   -3.60,   -1.71,   -3.85,   -3.51,   -2.16,   -3.78
197611,    0.07,    0.24,    2.62,    3.69,    3.89,    0.13,   -0.08,   -0.61,    1.51,    2.69,    2.53,    3.01,    4.86,    4.94,    2.63
197612,    5.28,    5.55,    7.63,    9.33,   10.01,    5.25,    5.35,    5.52,    5.59,    7.38,    7.96,    8.97,    9.77,    8.07,   12.10
